EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,DistanceFromHome,YearsAtCompany,TrainingHours,LastPromotionYears,PerformanceRating,WorkLifeBalance,OverTime,Attrition
10041,28,Male,Sales,Sales Manager,2,Life Sciences,Married,5426,39,1,28,10,4,3,No,No
10042,45,Female,Operations,Operations Manager,3,Life Sciences,Single,4432,37,2,42,1,3,4,No,No
10043,21,Male,Marketing,Marketing Manager,4,Human Resources,Single,2828,9,2,15,0,4,1,No,Yes
10044,39,Male,Finance,Financial Analyst,3,Life Sciences,Married,8303,36,1,119,1,3,3,No,No
10045,47,Female,Sales,Sales Executive,4,Other,Single,7334,35,1,128,1,3,4,No,Yes
10046,26,Female,R&D,Lab Technician,3,Life Sciences,Single,4506,43,0,28,1,3,4,No,No
10047,27,Male,R&D,Lab Technician,3,Technical Degree,Married,3239,49,1,33,8,3,3,Yes,No
10048,54,Female,Finance,Accountant,4,Technical Degree,Single,7572,2,1,96,5,3,4,No,No
10049,33,Male,Finance,Accountant,4,Life Sciences,Married,7308,41,1,18,6,4,2,No,No
10050,36,Male,HR,Recruiter,3,Life Sciences,Divorced,5564,38,3,21,6,2,3,No,No
10051,55,Male,R&D,Lab Technician,4,Life Sciences,Married,10310,23,2,87,5,5,3,Yes,No
10052,59,Female,Operations,Operations Manager,4,Technical Degree,Married,10712,12,3,8,2,3,3,No,No
10053,23,Female,Sales,Sales Executive,4,Life Sciences,Single,4475,21,5,119,6,3,4,No,No
10054,21,Male,R&D,Research Scientist,4,Life Sciences,Married,12265,29,2,158,6,4,2,No,No
10055,25,Male,IT,IT Manager,3,Medical,Single,5174,36,2,59,5,4,4,No,No
10056,23,Male,Sales,Sales Manager,3,Technical Degree,Married,5213,43,3,50,6,3,3,No,No
10057,48,Male,IT,System Admin,4,Other,Single,8139,37,5,46,6,3,2,No,No
10058,37,Male,Operations,Logistics Manager,2,Life Sciences,Single,7044,27,3,128,7,4,3,Yes,No
10059,45,Male,Finance,Financial Analyst,4,Technical Degree,Married,6098,6,3,94,8,3,4,Yes,No
10060,53,Female,Sales,Sales Executive,3,Other,Married,1500,20,2,159,4,3,3,No,No
10061,29,Female,Sales,Sales Manager,4,Technical Degree,Single,1500,48,1,102,3,4,3,Yes,Yes
10062,55,Male,R&D,Lab Technician,3,Technical Degree,Single,2148,43,2,122,2,3,2,Yes,No
10063,33,Male,Sales,Account Manager,3,Technical Degree,Married,6032,41,1,100,5,4,3,No,No
10064,50,Male,Marketing,Content Specialist,4,Medical,Married,4445,22,2,49,5,4,3,No,Yes
10065,34,Male,Finance,Finance Manager,4,Life Sciences,Single,4867,23,3,154,1,1,3,No,No
10066,27,Female,R&D,Lab Technician,3,Marketing,Single,5111,34,2,100,6,4,3,No,No
10067,33,Female,Marketing,Content Specialist,2,Medical,Single,8933,4,5,177,3,3,2,No,No
10068,42,Male,IT,System Admin,4,Other,Single,8322,32,3,44,0,3,2,No,No
10069,59,Male,R&D,R&D Manager,4,Life Sciences,Married,4752,16,5,51,3,3,4,No,Yes
10070,40,Female,R&D,R&D Manager,2,Other,Single,5087,4,2,60,3,3,2,No,No
10071,35,Male,Sales,Account Manager,3,Technical Degree,Married,3411,28,1,165,8,4,3,No,Yes
10072,37,Female,Marketing,Marketing Executive,3,Life Sciences,Married,4991,28,3,24,3,3,2,Yes,No
10073,43,Male,R&D,Research Scientist,5,Technical Degree,Married,9898,41,2,71,3,4,3,No,No
10074,45,Female,Operations,Logistics Manager,3,Technical Degree,Married,8757,22,2,100,6,3,2,Yes,No
10075,44,Male,R&D,R&D Manager,2,Technical Degree,Married,7149,8,2,75,6,3,4,No,No
10076,48,Female,Operations,Operations Manager,2,Marketing,Married,2782,26,3,98,2,3,4,Yes,No
10077,34,Female,Sales,Sales Manager,4,Other,Single,5841,39,8,78,5,4,2,No,No
10078,20,Male,Marketing,Content Specialist,4,Other,Single,4846,30,7,81,2,3,3,No,No
10079,44,Female,Operations,Logistics Manager,3,Life Sciences,Married,5539,50,0,14,9,3,3,Yes,No
10080,26,Female,R&D,Lab Technician,2,Life Sciences,Married,8371,9,3,1,0,3,3,No,No
10081,28,Male,IT,IT Manager,3,Technical Degree,Single,9233,26,8,7,6,5,3,No,No
10082,43,Male,IT,Developer,3,Other,Single,13340,42,3,199,4,3,3,No,No
10083,20,Male,Operations,Operations Manager,2,Other,Divorced,3307,11,5,80,3,4,3,No,No
10084,27,Male,R&D,Research Scientist,4,Technical Degree,Single,9691,25,4,49,7,4,3,No,No
10085,43,Male,R&D,Lab Technician,4,Technical Degree,Single,5590,34,2,19,10,4,3,No,No
10086,30,Female,Operations,Ops Executive,5,Other,Single,3858,27,4,105,6,3,3,No,Yes
10087,36,Male,IT,IT Manager,3,Life Sciences,Married,12520,10,3,195,2,3,1,No,No
10088,27,Female,R&D,R&D Manager,3,Life Sciences,Married,11284,15,3,82,10,4,3,Yes,No
10089,54,Male,Operations,Operations Manager,4,Medical,Single,5157,50,3,197,9,3,3,No,No
10090,54,Male,Sales,Account Manager,2,Technical Degree,Married,3833,5,4,176,6,1,4,No,No
10091,52,Male,IT,IT Manager,3,Other,Single,1500,12,1,11,9,3,4,No,Yes
10092,24,Male,Sales,Account Manager,3,Life Sciences,Married,9763,8,3,132,6,3,2,Yes,No
10093,58,Male,R&D,Lab Technician,5,Human Resources,Single,1500,6,0,142,9,3,3,Yes,No
10094,47,Male,R&D,Research Scientist,4,Technical Degree,Single,5563,24,3,194,6,2,3,No,No
10095,26,Male,R&D,Lab Technician,2,Marketing,Married,3320,1,5,162,1,3,3,Yes,No
10096,28,Female,R&D,Research Scientist,2,Marketing,Single,10182,25,1,70,2,2,2,Yes,No
10097,27,Female,R&D,Research Scientist,4,Technical Degree,Married,11534,45,1,90,2,3,3,No,No
10098,31,Male,R&D,Research Scientist,4,Other,Married,1500,47,2,142,10,4,3,No,No
10099,53,Female,Sales,Account Manager,4,Medical,Single,6245,11,0,181,2,4,4,Yes,No
10100,52,Female,IT,IT Manager,2,Life Sciences,Single,6810,23,3,160,6,4,4,Yes,No
10101,42,Male,R&D,R&D Manager,3,Life Sciences,Single,5136,36,2,93,10,2,2,No,No
10102,43,Female,R&D,Research Scientist,4,Other,Single,4076,40,4,189,6,4,3,No,No
10103,56,Female,Finance,Financial Analyst,5,Life Sciences,Married,10693,7,4,151,3,4,3,No,No
10104,54,Male,Operations,Ops Executive,2,Life Sciences,Single,4431,27,2,7,0,3,3,No,Yes
10105,59,Male,IT,System Admin,3,Medical,Divorced,11948,45,3,25,5,3,3,No,No
10106,41,Male,Sales,Account Manager,2,Technical Degree,Married,4014,21,2,76,0,4,2,No,No
10107,46,Male,Operations,Operations Manager,3,Human Resources,Married,8316,5,2,117,6,3,4,No,No
10108,54,Female,Marketing,Marketing Manager,3,Technical Degree,Single,8506,33,3,177,0,5,4,No,No
10109,20,Male,R&D,Lab Technician,4,Medical,Single,4011,16,3,98,8,2,3,Yes,No
10110,54,Female,Marketing,Content Specialist,3,Other,Single,1500,11,5,67,6,3,3,No,Yes
10111,56,Female,R&D,Lab Technician,3,Human Resources,Married,3422,32,2,197,10,3,2,No,No
10112,33,Female,R&D,Research Scientist,3,Technical Degree,Single,2462,50,3,163,8,3,3,Yes,No
10113,22,Female,R&D,Lab Technician,4,Life Sciences,Married,8472,24,0,6,5,4,2,Yes,No
10114,20,Male,Finance,Financial Analyst,4,Technical Degree,Married,4862,9,2,132,8,5,2,No,No
10115,24,Male,Sales,Sales Executive,2,Life Sciences,Married,10122,36,1,11,5,5,3,No,No
10116,45,Female,Sales,Account Manager,2,Technical Degree,Married,7718,7,2,88,6,5,3,No,No
10117,33,Male,Sales,Account Manager,3,Other,Married,5423,28,2,98,4,4,4,Yes,No
10118,58,Male,R&D,Lab Technician,3,Technical Degree,Single,6251,23,2,180,6,3,1,No,No
10119,46,Female,R&D,Research Scientist,3,Life Sciences,Single,2019,39,3,110,10,4,3,No,No
10120,28,Female,HR,HR Executive,4,Marketing,Married,5417,13,3,172,1,2,4,No,No
10121,34,Male,R&D,Research Scientist,2,Other,Married,6431,7,2,108,8,2,3,No,No
10122,34,Female,Marketing,Marketing Manager,5,Life Sciences,Single,4847,21,3,160,5,4,3,Yes,No
10123,45,Female,R&D,R&D Manager,1,Life Sciences,Married,4312,39,2,8,0,3,4,No,No
10124,32,Male,R&D,R&D Manager,2,Human Resources,Married,9017,13,3,111,0,3,3,No,No
10125,51,Male,Sales,Account Manager,3,Technical Degree,Single,3170,36,5,170,8,3,3,No,No
10126,58,Female,R&D,R&D Manager,3,Life Sciences,Married,7754,12,2,163,7,3,3,No,No
10127,51,Male,Sales,Account Manager,3,Technical Degree,Single,9300,8,1,164,10,4,3,No,No
10128,23,Male,HR,Recruiter,4,Technical Degree,Single,7484,48,1,166,8,4,4,No,No
10129,49,Male,IT,System Admin,3,Technical Degree,Married,2387,43,0,151,5,3,3,No,No
10130,56,Female,Sales,Sales Manager,1,Other,Divorced,6342,36,5,22,8,4,1,No,No
10131,42,Male,R&D,Lab Technician,4,Life Sciences,Married,8680,47,2,194,6,4,4,Yes,No
10132,58,Male,Sales,Sales Executive,5,Life Sciences,Married,5134,44,2,7,0,3,1,No,No
10133,34,Male,Operations,Operations Manager,4,Marketing,Married,3439,23,2,47,3,3,3,No,Yes
10134,48,Female,IT,IT Manager,4,Life Sciences,Married,3335,34,4,23,2,3,1,No,Yes
10135,55,Male,Sales,Sales Manager,2,Marketing,Married,6966,23,5,133,3,3,4,Yes,No
10136,32,Female,R&D,Research Scientist,3,Medical,Single,5003,38,4,6,0,3,3,No,No
10137,51,Female,Marketing,Content Specialist,3,Other,Single,4146,29,4,19,0,3,2,No,No
10138,26,Male,R&D,R&D Manager,5,Marketing,Single,1500,50,3,182,3,3,3,No,No
10139,41,Female,R&D,Lab Technician,3,Life Sciences,Married,11410,24,6,179,6,3,4,No,No
10140,47,Female,R&D,Research Scientist,1,Technical Degree,Married,5057,22,1,59,3,4,3,No,No
10141,21,Female,HR,HR Manager,3,Life Sciences,Married,8442,12,2,32,1,3,3,No,No
10142,25,Male,Marketing,Marketing Executive,1,Marketing,Single,10015,16,1,123,3,4,4,No,No
10143,47,Female,Marketing,Content Specialist,3,Life Sciences,Single,16217,1,4,129,4,4,3,Yes,No
10144,47,Female,IT,IT Manager,3,Technical Degree,Single,8046,30,3,24,4,5,3,No,No
10145,39,Female,R&D,Research Scientist,3,Other,Single,7005,36,3,194,8,4,3,No,No
10146,49,Male,R&D,Research Scientist,1,Technical Degree,Married,1500,42,2,137,1,2,3,No,No
10147,30,Female,R&D,Research Scientist,2,Marketing,Married,1500,42,0,35,10,2,4,No,No
10148,47,Male,Marketing,Marketing Manager,3,Technical Degree,Single,1500,24,5,77,5,4,4,No,No
10149,44,Male,IT,IT Manager,4,Marketing,Married,5492,39,5,161,8,4,2,No,No
10150,58,Male,R&D,Lab Technician,3,Marketing,Married,3006,38,6,157,2,4,3,No,No
10151,52,Female,Sales,Sales Manager,4,Other,Married,4543,32,5,110,6,4,3,No,No
10152,20,Male,R&D,R&D Manager,2,Other,Divorced,10312,32,4,11,1,3,2,No,No
10153,46,Male,Marketing,Marketing Executive,2,Technical Degree,Married,7550,12,1,104,4,4,3,No,Yes
10154,32,Female,R&D,R&D Manager,4,Other,Married,5959,10,5,137,0,3,1,No,No
10155,22,Male,Sales,Account Manager,3,Other,Married,6587,12,3,107,2,4,3,No,No
10156,58,Female,Sales,Account Manager,3,Human Resources,Single,3910,13,4,185,4,3,3,Yes,No
10157,25,Male,R&D,R&D Manager,5,Life Sciences,Single,4564,15,2,73,5,3,3,No,Yes
10158,27,Male,Operations,Logistics Manager,3,Life Sciences,Single,1851,30,1,169,5,3,1,No,No
10159,46,Female,Marketing,Content Specialist,1,Marketing,Married,8332,13,3,65,5,2,3,No,No
10160,28,Female,Marketing,Marketing Executive,5,Life Sciences,Married,11312,48,1,44,0,4,3,No,No
10161,56,Male,IT,IT Manager,1,Life Sciences,Married,10085,43,7,72,2,3,4,No,No
10162,52,Female,HR,HR Manager,4,Technical Degree,Single,6074,1,2,118,2,3,4,Yes,No
10163,43,Male,HR,Recruiter,3,Marketing,Married,8870,18,5,153,0,4,2,No,No
10164,34,Male,R&D,Lab Technician,3,Other,Married,7633,39,2,33,5,3,3,No,No
10165,51,Male,IT,IT Manager,3,Technical Degree,Single,6518,12,5,145,9,4,3,No,No
10166,51,Male,R&D,Lab Technician,3,Technical Degree,Single,7056,50,3,17,1,4,3,No,No
10167,43,Male,Finance,Finance Manager,4,Other,Married,2045,44,2,24,0,3,2,No,No
10168,31,Male,Sales,Sales Executive,5,Life Sciences,Married,4560,9,6,66,7,5,3,No,No
10169,58,Male,R&D,Research Scientist,2,Marketing,Married,3953,49,5,143,0,4,3,Yes,No
10170,21,Male,Operations,Ops Executive,4,Marketing,Single,1500,4,6,28,5,3,3,No,No
10171,22,Male,Operations,Operations Manager,2,Technical Degree,Single,7731,27,2,43,9,3,2,No,Yes
10172,56,Female,R&D,Lab Technician,2,Life Sciences,Married,8107,28,3,61,9,3,3,Yes,No
10173,36,Female,Sales,Sales Executive,5,Technical Degree,Divorced,1500,24,3,178,6,4,4,No,Yes
10174,21,Female,Marketing,Marketing Manager,3,Life Sciences,Married,5956,4,4,143,9,4,3,No,No
10175,21,Male,IT,Developer,2,Technical Degree,Married,4983,28,2,86,0,3,3,No,Yes
10176,47,Female,R&D,Research Scientist,3,Medical,Married,4127,20,5,50,9,4,4,No,No
10177,42,Female,HR,Recruiter,3,Life Sciences,Single,1500,29,4,40,2,2,4,No,Yes
10178,56,Male,R&D,R&D Manager,3,Life Sciences,Married,6182,33,4,34,3,3,3,Yes,No
10179,51,Male,R&D,Lab Technician,4,Life Sciences,Married,6056,30,2,170,10,4,2,No,No
10180,52,Female,Operations,Logistics Manager,4,Technical Degree,Married,4869,3,1,124,8,4,1,No,No
10181,20,Female,Sales,Sales Manager,1,Technical Degree,Single,8426,19,2,166,6,1,4,No,Yes
10182,38,Female,Sales,Sales Executive,3,Life Sciences,Married,8295,21,3,87,4,3,3,No,No
10183,21,Female,Sales,Sales Executive,2,Other,Married,1500,40,7,141,5,4,3,No,No
10184,45,Female,R&D,Research Scientist,2,Life Sciences,Single,8288,21,6,116,6,3,2,Yes,No
10185,51,Female,Sales,Account Manager,5,Marketing,Single,3132,20,5,29,6,3,4,No,No
10186,25,Male,Sales,Sales Manager,5,Life Sciences,Single,5182,33,2,15,7,5,3,No,No
10187,51,Male,Sales,Sales Executive,4,Other,Single,10945,38,2,79,9,3,3,No,Yes
10188,23,Female,Sales,Sales Manager,4,Life Sciences,Single,5870,9,3,88,8,3,4,No,No
10189,30,Male,R&D,Lab Technician,4,Marketing,Married,9083,50,2,108,2,3,3,No,No
10190,36,Female,Sales,Sales Manager,2,Marketing,Married,5239,31,1,34,5,3,3,No,No
10191,57,Female,Finance,Accountant,2,Other,Divorced,8809,32,2,2,10,4,3,No,No
10192,43,Female,HR,Recruiter,3,Other,Single,5837,41,2,100,10,2,3,No,No
10193,24,Female,Sales,Sales Executive,4,Life Sciences,Single,5193,23,3,1,6,3,4,No,No
10194,53,Male,HR,HR Manager,3,Other,Single,6368,23,4,172,10,3,2,No,No
10195,25,Male,Marketing,Marketing Manager,3,Technical Degree,Single,2644,42,0,8,6,2,1,No,No
10196,41,Male,Marketing,Marketing Manager,3,Other,Married,4454,16,4,118,5,3,3,No,No
10197,30,Female,Sales,Account Manager,4,Life Sciences,Married,7833,21,3,90,1,3,3,No,No
10198,35,Female,IT,System Admin,4,Life Sciences,Married,8514,12,2,176,10,3,2,Yes,No
10199,52,Female,R&D,Research Scientist,3,Other,Single,3265,6,6,19,6,2,3,No,No
10200,28,Male,Sales,Sales Executive,4,Technical Degree,Married,11169,14,4,44,5,3,1,Yes,No
10201,25,Male,R&D,Lab Technician,3,Life Sciences,Divorced,11423,22,2,176,9,3,4,No,No
10202,35,Female,R&D,Lab Technician,4,Technical Degree,Married,3226,31,1,63,5,5,3,No,No
10203,48,Male,R&D,Research Scientist,3,Other,Divorced,4632,40,6,141,2,4,3,No,No
10204,22,Male,Finance,Financial Analyst,3,Life Sciences,Single,5909,47,1,10,10,3,3,No,No
10205,39,Female,IT,IT Manager,3,Technical Degree,Single,9644,42,4,75,3,3,1,Yes,No
10206,55,Female,Sales,Account Manager,2,Human Resources,Divorced,7719,28,0,176,3,2,1,No,No
10207,38,Male,R&D,R&D Manager,4,Other,Married,5081,5,3,48,5,1,3,No,No
10208,45,Female,R&D,Research Scientist,5,Technical Degree,Single,2209,26,1,88,1,4,4,No,No
10209,22,Male,R&D,R&D Manager,3,Human Resources,Single,1500,27,2,53,8,3,3,Yes,No
10210,38,Female,Marketing,Marketing Executive,3,Other,Married,6857,29,1,128,2,3,3,No,No
10211,39,Male,IT,Developer,4,Life Sciences,Married,11461,16,2,138,6,3,3,No,No
10212,51,Male,Marketing,Content Specialist,3,Life Sciences,Married,6011,26,2,38,5,3,4,No,No
10213,26,Female,Finance,Financial Analyst,3,Marketing,Single,7246,8,4,133,4,3,3,No,No
10214,52,Male,R&D,Lab Technician,1,Other,Married,6633,11,2,106,8,2,3,No,Yes
10215,59,Female,R&D,Lab Technician,4,Life Sciences,Married,1500,3,1,52,6,3,3,No,No
10216,58,Female,R&D,Research Scientist,4,Technical Degree,Married,10714,2,2,124,7,3,3,No,No
10217,37,Female,R&D,Research Scientist,4,Technical Degree,Married,3636,1,0,27,9,3,3,No,No
10218,59,Female,Operations,Operations Manager,3,Medical,Married,3600,1,0,91,5,4,3,Yes,No
10219,20,Male,R&D,Research Scientist,4,Other,Single,7399,20,4,140,0,3,3,No,No
10220,30,Female,R&D,R&D Manager,3,Medical,Married,3845,42,3,200,3,3,3,Yes,No
10221,47,Male,IT,IT Manager,3,Marketing,Single,2090,31,5,134,10,4,1,No,No
10222,44,Male,Operations,Ops Executive,4,Technical Degree,Single,8904,50,3,171,1,3,4,Yes,No
10223,42,Female,R&D,R&D Manager,5,Other,Single,6384,16,2,192,6,3,4,Yes,No
10224,50,Male,Finance,Accountant,4,Human Resources,Single,8878,48,2,10,9,2,2,No,No
10225,49,Female,Sales,Sales Manager,4,Life Sciences,Married,4896,3,5,169,10,3,3,No,No
10226,54,Male,R&D,Research Scientist,4,Life Sciences,Single,4636,39,0,39,4,3,2,Yes,No
10227,26,Female,Sales,Sales Executive,4,Technical Degree,Single,6758,6,4,49,4,3,3,No,No
10228,35,Female,Sales,Sales Executive,4,Technical Degree,Divorced,7055,43,2,162,8,4,3,No,No
10229,45,Male,Finance,Accountant,3,Medical,Single,4074,37,6,128,3,3,3,No,No
10230,21,Female,R&D,R&D Manager,2,Technical Degree,Single,3715,41,5,55,10,1,3,No,No
10231,20,Female,IT,System Admin,4,Technical Degree,Married,8720,36,3,194,2,5,3,No,No
10232,31,Male,Operations,Operations Manager,5,Technical Degree,Single,7002,12,2,116,0,3,3,No,No
10233,24,Male,Sales,Account Manager,3,Life Sciences,Married,6824,10,4,47,4,3,3,No,No
10234,56,Female,IT,Developer,4,Other,Single,1500,35,2,8,10,3,1,No,No
10235,51,Male,R&D,Research Scientist,3,Other,Single,6774,39,2,157,10,4,3,No,No
10236,28,Male,Sales,Sales Executive,5,Life Sciences,Married,7116,2,4,20,2,3,4,Yes,Yes
10237,54,Female,Finance,Accountant,4,Marketing,Single,5040,31,1,15,5,3,4,No,No
10238,38,Male,Finance,Accountant,3,Marketing,Single,7694,40,5,102,7,3,3,No,No
10239,35,Female,R&D,Lab Technician,4,Other,Single,3922,45,4,173,1,3,3,No,No
10240,22,Female,Marketing,Marketing Executive,4,Life Sciences,Single,7028,15,5,138,0,3,3,No,No
10241,39,Female,R&D,Research Scientist,4,Other,Single,1500,33,2,27,3,4,2,No,No
10242,43,Male,Marketing,Marketing Manager,5,Life Sciences,Single,8713,2,3,84,8,3,2,No,No
10243,52,Male,R&D,R&D Manager,2,Marketing,Married,3684,27,2,172,3,3,3,Yes,No
10244,43,Male,Sales,Sales Executive,2,Life Sciences,Married,7303,50,6,182,3,2,4,No,Yes
10245,30,Female,R&D,Lab Technician,4,Life Sciences,Married,9730,24,5,175,4,2,2,No,No
10246,27,Male,Sales,Sales Executive,5,Other,Married,8962,27,3,44,1,3,4,No,No
10247,55,Male,HR,Recruiter,3,Technical Degree,Married,7292,31,3,24,1,3,3,No,No
10248,57,Male,Finance,Financial Analyst,1,Other,Divorced,8466,7,3,32,1,3,3,No,No
10249,59,Male,R&D,Research Scientist,3,Technical Degree,Married,10483,26,3,151,6,3,2,No,No
10250,39,Male,Sales,Account Manager,3,Marketing,Married,6361,22,4,54,9,3,3,No,No
10251,54,Female,R&D,Lab Technician,4,Human Resources,Married,8911,2,2,164,6,4,3,No,Yes
10252,44,Male,Sales,Sales Manager,1,Life Sciences,Married,2464,16,4,139,8,4,3,No,No
10253,54,Male,Finance,Financial Analyst,3,Medical,Married,3837,25,2,13,9,3,3,Yes,No
10254,44,Male,IT,IT Manager,4,Technical Degree,Married,10520,16,2,43,8,4,4,No,No
10255,48,Female,Marketing,Marketing Executive,2,Technical Degree,Single,5256,23,5,195,1,3,1,Yes,No
10256,37,Female,Sales,Sales Executive,4,Other,Married,4426,36,5,167,3,4,2,No,No
10257,37,Male,R&D,Lab Technician,3,Technical Degree,Married,5143,49,2,194,6,3,3,Yes,No
10258,21,Female,HR,HR Executive,4,Technical Degree,Married,3864,14,1,158,3,3,1,No,No
10259,54,Male,Marketing,Marketing Manager,2,Other,Divorced,5489,40,0,42,1,3,3,No,No
10260,35,Female,Finance,Financial Analyst,3,Life Sciences,Single,2853,9,2,196,2,3,3,No,No
10261,55,Male,Sales,Account Manager,3,Life Sciences,Married,4295,40,2,73,5,3,2,No,No
10262,52,Female,R&D,Lab Technician,4,Other,Single,6236,31,2,45,3,3,4,No,No
10263,23,Female,Finance,Accountant,3,Technical Degree,Single,10717,50,1,149,3,3,2,No,No
10264,52,Female,IT,Developer,1,Life Sciences,Married,5866,7,3,181,6,3,2,No,No
10265,33,Male,Operations,Operations Manager,4,Other,Married,1500,45,4,165,8,4,2,No,Yes
10266,40,Male,Sales,Sales Manager,2,Life Sciences,Single,9018,1,3,188,6,4,3,Yes,No
10267,39,Female,Marketing,Marketing Manager,5,Life Sciences,Married,8417,21,2,37,8,3,3,No,No
10268,27,Male,Sales,Sales Manager,3,Other,Married,3618,29,3,47,5,3,3,No,No
10269,26,Female,Marketing,Content Specialist,3,Technical Degree,Single,8368,8,8,163,0,3,4,No,No
10270,22,Female,Operations,Operations Manager,2,Technical Degree,Single,5605,9,3,20,4,3,3,No,No
10271,36,Female,Finance,Finance Manager,3,Technical Degree,Married,10333,19,4,193,3,4,3,No,No
10272,52,Male,IT,IT Manager,3,Marketing,Single,13163,47,2,99,1,3,3,No,No
10273,31,Female,Sales,Sales Manager,3,Life Sciences,Single,7195,35,2,12,9,3,4,No,No
10274,41,Female,Sales,Account Manager,1,Other,Single,8303,27,2,116,3,3,1,No,No
10275,41,Female,Sales,Sales Executive,4,Technical Degree,Married,10809,21,2,132,6,5,1,No,No
10276,49,Male,Sales,Account Manager,4,Life Sciences,Single,8884,23,6,30,4,3,2,No,Yes
10277,57,Male,R&D,Lab Technician,4,Life Sciences,Married,7365,43,3,193,7,4,3,No,No
10278,57,Male,Sales,Account Manager,3,Technical Degree,Married,5672,14,2,199,1,3,2,Yes,No
10279,27,Male,Operations,Operations Manager,4,Marketing,Single,2597,12,5,150,2,3,1,Yes,No
10280,46,Female,R&D,R&D Manager,2,Other,Married,5168,5,5,161,5,3,3,No,No
